Selviytyi,Matkustusluokka,Sukupuoli,Ika,Hinta,LahtoSatama
0,3,0,22.0,7.25,0.0
1,1,1,38.0,71.28,1.0
1,3,1,26.0,7.93,0.0
1,1,1,35.0,53.1,0.0
0,3,0,35.0,8.05,0.0
0,3,0,,8.46,2.0
0,1,0,54.0,51.86,0.0
0,3,0,2.0,21.08,0.0
1,3,1,27.0,11.13,0.0
1,2,1,14.0,30.07,1.0
1,3,1,4.0,16.7,0.0
1,1,1,58.0,26.55,0.0
0,3,0,20.0,8.05,0.0
0,3,0,39.0,31.28,0.0
0,3,1,14.0,7.85,0.0
1,2,1,55.0,16.0,0.0
0,3,0,2.0,29.13,2.0
1,2,0,,13.0,0.0
0,3,1,31.0,18.0,0.0
1,3,1,,7.23,1.0
0,2,0,35.0,26.0,0.0
1,2,0,34.0,13.0,0.0
1,3,1,15.0,8.03,2.0
1,1,0,28.0,35.5,0.0
0,3,1,8.0,21.08,0.0
1,3,1,38.0,31.39,0.0
0,3,0,,7.23,1.0
0,1,0,19.0,263.0,0.0
1,3,1,,7.88,2.0
0,3,0,,7.9,0.0
0,1,0,40.0,27.72,1.0
1,1,1,,146.52,1.0
1,3,1,,7.75,2.0
0,2,0,66.0,10.5,0.0
0,1,0,28.0,82.17,1.0
0,1,0,42.0,52.0,0.0
1,3,0,,7.23,1.0
0,3,0,21.0,8.05,0.0
0,3,1,18.0,18.0,0.0
1,3,1,14.0,11.24,1.0
0,3,1,40.0,9.48,0.0
0,2,1,27.0,21.0,0.0
0,3,0,,7.9,1.0
1,2,1,3.0,41.58,1.0
1,3,1,19.0,7.88,2.0
0,3,0,,8.05,0.0
0,3,0,,15.5,2.0
1,3,1,,7.75,2.0
0,3,0,,21.68,1.0
0,3,1,18.0,17.8,0.0
0,3,0,7.0,39.69,0.0
0,3,0,21.0,7.8,0.0
1,1,1,49.0,76.73,1.0
1,2,1,29.0,26.0,0.0
0,1,0,65.0,61.98,1.0
1,1,0,,35.5,0.0
1,2,1,21.0,10.5,0.0
0,3,0,28.5,7.23,1.0
1,2,1,5.0,27.75,0.0
0,3,0,11.0,46.9,0.0
0,3,0,22.0,7.23,1.0
1,1,1,38.0,80.0,
0,1,0,45.0,83.48,0.0
0,3,0,4.0,27.9,0.0
0,1,0,,27.72,1.0
1,3,0,,15.25,1.0
1,2,1,29.0,10.5,0.0
0,3,0,19.0,8.16,0.0
1,3,1,17.0,7.93,0.0
0,3,0,26.0,8.66,0.0
0,2,0,32.0,10.5,0.0
0,3,1,16.0,46.9,0.0
0,2,0,21.0,73.5,0.0
0,3,0,26.0,14.45,1.0
1,3,0,32.0,56.5,0.0
0,3,0,25.0,7.65,0.0
0,3,0,,7.9,0.0
0,3,0,,8.05,0.0
1,2,0,0.83,29.0,0.0
1,3,1,30.0,12.48,0.0
0,3,0,22.0,9.0,0.0
1,3,0,29.0,9.5,0.0
1,3,1,,7.79,2.0
0,1,0,28.0,47.1,0.0
1,2,1,17.0,10.5,0.0
1,3,1,33.0,15.85,0.0
0,3,0,16.0,34.38,0.0
0,3,0,,8.05,0.0
1,1,1,23.0,263.0,0.0
0,3,0,24.0,8.05,0.0
0,3,0,29.0,8.05,0.0
0,3,0,20.0,7.85,0.0
0,1,0,46.0,61.18,0.0
0,3,0,26.0,20.58,0.0
0,3,0,59.0,7.25,0.0
0,3,0,,8.05,0.0
0,1,0,71.0,34.65,1.0
1,1,0,23.0,63.36,1.0
1,2,1,34.0,23.0,0.0
0,2,0,34.0,26.0,0.0
0,3,1,28.0,7.9,0.0
0,3,0,,7.9,0.0
0,1,0,21.0,77.29,0.0
0,3,0,33.0,8.65,0.0
0,3,0,37.0,7.93,0.0
0,3,0,28.0,7.9,0.0
1,3,1,21.0,7.65,0.0
1,3,0,,7.78,0.0
0,3,0,38.0,7.9,0.0
1,3,1,,24.15,2.0
0,1,0,47.0,52.0,0.0
0,3,1,14.5,14.45,1.0
0,3,0,22.0,8.05,0.0
0,3,1,20.0,9.83,0.0
0,3,1,17.0,14.46,1.0
0,3,0,21.0,7.93,0.0
0,3,0,70.5,7.75,2.0
0,2,0,29.0,21.0,0.0
0,1,0,24.0,247.52,1.0
0,3,1,2.0,31.28,0.0
0,2,0,21.0,73.5,0.0
0,3,0,,8.05,0.0
0,2,0,32.5,30.07,1.0
1,2,1,32.5,13.0,0.0
0,1,0,54.0,77.29,0.0
1,3,0,12.0,11.24,1.0
0,3,0,,7.75,2.0
1,3,0,24.0,7.14,0.0
1,3,1,,22.36,1.0
0,3,0,45.0,6.98,0.0
0,3,0,33.0,7.9,1.0
0,3,0,20.0,7.05,0.0
0,3,1,47.0,14.5,0.0
1,2,1,29.0,26.0,0.0
0,2,0,25.0,13.0,0.0
0,2,0,23.0,15.05,1.0
1,1,1,19.0,26.28,0.0
0,1,0,37.0,53.1,0.0
0,3,0,16.0,9.22,0.0
0,1,0,24.0,79.2,1.0
0,3,1,,15.25,1.0
1,3,1,22.0,7.75,0.0
1,3,1,24.0,15.85,0.0
0,3,0,19.0,6.75,2.0
0,2,0,18.0,11.5,0.0
0,2,0,19.0,36.75,0.0
1,3,0,27.0,7.8,0.0
0,3,1,9.0,34.38,0.0
0,2,0,36.5,26.0,0.0
0,2,0,42.0,13.0,0.0
0,2,0,51.0,12.53,0.0
1,1,1,22.0,66.6,0.0
0,3,0,55.5,8.05,0.0
0,3,0,40.5,14.5,0.0
0,3,0,,7.31,0.0
0,1,0,51.0,61.38,1.0
1,3,1,16.0,7.73,2.0
0,3,0,30.0,8.05,0.0
0,3,0,,8.66,0.0
0,3,0,,69.55,0.0
0,3,0,44.0,16.1,0.0
1,2,1,40.0,15.75,0.0
0,3,0,26.0,7.78,0.0
0,3,0,17.0,8.66,0.0
0,3,0,1.0,39.69,0.0
1,3,0,9.0,20.53,0.0
1,1,1,,55.0,0.0
0,3,1,45.0,27.9,0.0
0,1,0,,25.93,0.0
0,3,0,28.0,56.5,0.0
0,1,0,61.0,33.5,0.0
0,3,0,4.0,29.13,2.0
1,3,1,1.0,11.13,0.0
0,3,0,21.0,7.93,0.0
0,1,0,56.0,30.7,1.0
0,3,0,18.0,7.85,0.0
0,3,0,,25.47,0.0
0,1,1,50.0,28.71,1.0
0,2,0,30.0,13.0,0.0
0,3,0,36.0,0.0,0.0
0,3,1,,69.55,0.0
0,2,0,,15.05,1.0
0,3,0,9.0,31.39,0.0
1,2,0,1.0,39.0,0.0
1,3,1,4.0,22.03,0.0
0,1,0,,50.0,0.0
1,3,1,,15.5,2.0
1,1,0,45.0,26.55,0.0
0,3,0,40.0,15.5,2.0
0,3,0,36.0,7.9,0.0
1,2,1,32.0,13.0,0.0
0,2,0,19.0,13.0,0.0
1,3,1,19.0,7.85,0.0
1,2,0,3.0,26.0,0.0
1,1,1,44.0,27.72,1.0
1,1,1,58.0,146.52,1.0
0,3,0,,7.75,2.0
0,3,0,42.0,8.4,0.0
1,3,1,,7.75,2.0
0,2,1,24.0,13.0,0.0
0,3,0,28.0,9.5,0.0
0,3,0,,69.55,0.0
0,3,0,34.0,6.5,0.0
0,3,0,45.5,7.23,1.0
1,3,0,18.0,8.05,0.0
0,3,1,2.0,10.46,0.0
0,3,0,32.0,15.85,0.0
1,3,0,26.0,18.79,1.0
1,3,1,16.0,7.75,2.0
1,1,0,40.0,31.0,1.0
0,3,0,24.0,7.05,0.0
1,2,1,35.0,21.0,0.0
0,3,0,22.0,7.25,0.0
0,2,0,30.0,13.0,0.0
0,3,0,,7.75,2.0
1,1,1,31.0,113.28,1.0
1,3,1,27.0,7.93,0.0
0,2,0,42.0,27.0,0.0
1,1,1,32.0,76.29,1.0
0,2,0,30.0,10.5,0.0
1,3,0,16.0,8.05,0.0
0,2,0,27.0,13.0,0.0
0,3,0,51.0,8.05,0.0
0,3,0,,7.9,0.0
1,1,0,38.0,90.0,0.0
0,3,0,22.0,9.35,0.0
1,2,0,19.0,10.5,0.0
0,3,0,20.5,7.25,0.0
0,2,0,18.0,13.0,0.0
0,3,1,,25.47,0.0
1,1,1,35.0,83.48,0.0
0,3,0,29.0,7.78,0.0
0,2,0,59.0,13.5,0.0
1,3,1,5.0,31.39,0.0
0,2,0,24.0,10.5,0.0
0,3,1,,7.55,0.0
0,2,0,44.0,26.0,0.0
1,2,1,8.0,26.25,0.0
0,2,0,19.0,10.5,0.0
0,2,0,33.0,12.28,0.0
0,3,1,,14.45,1.0
1,3,1,,15.5,2.0
0,2,0,29.0,10.5,0.0
0,3,0,22.0,7.13,0.0
0,3,0,30.0,7.23,1.0
0,1,0,44.0,90.0,2.0
0,3,1,25.0,7.78,0.0
1,2,1,24.0,14.5,0.0
1,1,0,37.0,52.55,0.0
0,2,0,54.0,26.0,0.0
0,3,0,,7.25,0.0
0,3,1,29.0,10.46,0.0
0,1,0,62.0,26.55,0.0
0,3,0,30.0,16.1,0.0
0,3,1,41.0,20.21,0.0
1,3,1,29.0,15.25,1.0
1,1,1,,79.2,1.0
1,1,1,30.0,86.5,0.0
1,1,1,35.0,512.33,1.0
1,2,1,50.0,26.0,0.0
0,3,0,,7.75,2.0
1,3,0,3.0,31.39,0.0
0,1,0,52.0,79.65,0.0
0,1,0,40.0,0.0,0.0
0,3,1,,7.75,2.0
0,2,0,36.0,10.5,0.0
0,3,0,16.0,39.69,0.0
1,3,0,25.0,7.78,0.0
1,1,1,58.0,153.46,0.0
1,1,1,35.0,135.63,0.0
0,1,0,,31.0,0.0
1,3,0,25.0,0.0,0.0
1,2,1,41.0,19.5,0.0
0,1,0,37.0,29.7,1.0
1,3,1,,7.75,2.0
1,1,1,63.0,77.96,0.0
0,3,1,45.0,7.75,0.0
0,2,0,,0.0,0.0
0,3,0,7.0,29.13,2.0
1,3,1,35.0,20.25,0.0
0,3,0,65.0,7.75,2.0
0,3,0,28.0,7.85,0.0
0,3,0,16.0,9.5,0.0
1,3,0,19.0,8.05,0.0
0,1,0,,26.0,0.0
0,3,0,33.0,8.66,1.0
1,3,0,30.0,9.5,0.0
0,3,0,22.0,7.9,0.0
1,2,0,42.0,13.0,0.0
1,3,1,22.0,7.75,2.0
1,1,1,26.0,78.85,0.0
1,1,1,19.0,91.08,1.0
0,2,0,36.0,12.88,1.0
0,3,1,24.0,8.85,0.0
0,3,0,24.0,7.9,0.0
0,1,0,,27.72,1.0
0,3,0,23.5,7.23,1.0
0,1,1,2.0,151.55,0.0
1,1,0,,30.5,0.0
1,1,1,50.0,247.52,1.0
1,3,1,,7.75,2.0
1,3,0,,23.25,2.0
0,3,0,19.0,0.0,0.0
1,2,1,,12.35,2.0
0,3,0,,8.05,0.0
1,1,0,0.92,151.55,0.0
1,1,1,,110.88,1.0
1,1,1,17.0,108.9,1.0
0,2,0,30.0,24.0,1.0
1,1,1,30.0,56.93,1.0
1,1,1,24.0,83.16,1.0
1,1,1,18.0,262.38,1.0
0,2,1,26.0,26.0,0.0
0,3,0,28.0,7.9,0.0
0,2,0,43.0,26.25,0.0
1,3,1,26.0,7.85,0.0
1,2,1,24.0,26.0,0.0
0,2,0,54.0,14.0,0.0
1,1,1,31.0,164.87,0.0
1,1,1,40.0,134.5,1.0
0,3,0,22.0,7.25,0.0
0,3,0,27.0,7.9,0.0
1,2,1,30.0,12.35,2.0
1,2,1,22.0,29.0,0.0
0,3,0,,69.55,0.0
1,1,1,36.0,135.63,1.0
0,3,0,61.0,6.24,0.0
1,2,1,36.0,13.0,0.0
1,3,1,31.0,20.53,0.0
1,1,1,16.0,57.98,1.0
1,3,1,,23.25,2.0
0,1,0,45.5,28.5,0.0
0,1,0,38.0,153.46,0.0
0,3,0,16.0,18.0,0.0
1,1,1,,133.65,0.0
0,3,0,,7.9,0.0
0,1,0,29.0,66.6,0.0
1,1,1,41.0,134.5,1.0
1,3,0,45.0,8.05,0.0
0,1,0,45.0,35.5,0.0
1,2,0,2.0,26.0,0.0
1,1,1,24.0,263.0,0.0
0,2,0,28.0,13.0,0.0
0,2,0,25.0,13.0,0.0
0,2,0,36.0,13.0,0.0
1,2,1,24.0,13.0,0.0
1,2,1,40.0,13.0,0.0
1,3,1,,16.1,0.0
1,3,0,3.0,15.9,0.0
0,3,0,42.0,8.66,0.0
0,3,0,23.0,9.23,0.0
0,1,0,,35.0,0.0
0,3,0,15.0,7.23,1.0
0,3,0,25.0,17.8,0.0
0,3,0,,7.23,1.0
0,3,0,28.0,9.5,0.0
1,1,1,22.0,55.0,0.0
0,2,1,38.0,13.0,0.0
1,3,1,,7.88,2.0
1,3,1,,7.88,2.0
0,3,0,40.0,27.9,0.0
0,2,0,29.0,27.72,1.0
0,3,1,45.0,14.45,1.0
0,3,0,35.0,7.05,0.0
0,3,0,,15.5,2.0
0,3,0,30.0,7.25,0.0
1,1,1,60.0,75.25,1.0
1,3,1,,7.23,1.0
1,3,1,,7.75,2.0
1,1,1,24.0,69.3,1.0
1,1,0,25.0,55.44,1.0
0,3,0,18.0,6.5,0.0
0,3,0,19.0,8.05,0.0
0,1,0,22.0,135.63,1.0
0,3,1,3.0,21.08,0.0
1,1,1,,82.17,1.0
1,3,1,22.0,7.25,0.0
0,1,0,27.0,211.5,1.0
0,3,0,20.0,4.01,1.0
0,3,0,19.0,7.78,0.0
1,1,1,42.0,227.53,1.0
1,3,1,1.0,15.74,1.0
0,3,0,32.0,7.93,0.0
1,1,1,35.0,52.0,0.0
0,3,0,,7.9,0.0
0,2,0,18.0,73.5,0.0
0,3,0,1.0,46.9,0.0
1,2,1,36.0,13.0,0.0
0,3,0,,7.73,2.0
1,2,1,17.0,12.0,1.0
1,1,0,36.0,120.0,0.0
1,3,0,21.0,7.8,0.0
0,3,0,28.0,7.93,0.0
1,1,1,23.0,113.28,1.0
1,3,1,24.0,16.7,0.0
0,3,0,22.0,7.8,0.0
0,3,1,31.0,7.85,0.0
0,2,0,46.0,26.0,0.0
0,2,0,23.0,10.5,0.0
1,2,1,28.0,12.65,0.0
1,3,0,39.0,7.93,0.0
0,3,0,26.0,8.05,0.0
0,3,1,21.0,9.83,0.0
0,3,0,28.0,15.85,0.0
0,3,1,20.0,8.66,0.0
0,2,0,34.0,21.0,0.0
0,3,0,51.0,7.75,0.0
1,2,0,3.0,18.75,0.0
0,3,0,21.0,7.78,0.0
0,3,1,,25.47,0.0
0,3,0,,7.9,0.0
0,3,0,,6.86,2.0
1,1,1,33.0,90.0,2.0
0,2,0,,0.0,0.0
1,3,0,44.0,7.93,0.0
0,3,1,,8.05,0.0
1,2,1,34.0,32.5,0.0
1,2,1,18.0,13.0,0.0
0,2,0,30.0,13.0,0.0
0,3,1,10.0,24.15,0.0
0,3,0,,7.9,1.0
0,3,0,21.0,7.73,2.0
0,3,0,29.0,7.88,0.0
0,3,1,28.0,14.4,0.0
0,3,0,18.0,20.21,0.0
0,3,0,,7.25,0.0
1,2,1,28.0,26.0,0.0
1,2,1,19.0,26.0,0.0
0,3,0,,7.75,2.0
1,3,0,32.0,8.05,0.0
1,1,0,28.0,26.55,0.0
1,3,1,,16.1,0.0
1,2,1,42.0,26.0,0.0
0,3,0,17.0,7.13,0.0
0,1,0,50.0,55.9,0.0
1,1,1,14.0,120.0,0.0
0,3,1,21.0,34.38,0.0
1,2,1,24.0,18.75,0.0
0,1,0,64.0,263.0,0.0
0,2,0,31.0,10.5,0.0
1,2,1,45.0,26.25,0.0
0,3,0,20.0,9.5,0.0
0,3,0,25.0,7.78,0.0
